ts_code,trade_date,open,high,low,close,pre_close,change,pct_chg,vol,amount
600519.SH,2018-03-05,738.18,742.0,717.03,720.11,736.41,-16.3,-2.21,37234.7,2703926.955
600519.SH,2018-03-06,725.0,727.6,697.13,718.26,720.11,-1.85,-0.26,64570.36,4581658.583000001
600519.SH,2018-03-07,715.0,724.0,708.99,710.04,718.26,-8.22,-1.14,34595.94,2480929.043
600519.SH,2018-03-08,714.0,724.0,708.0,722.76,710.04,12.72,1.79,35349.3,2540452.0
600519.SH,2018-03-09,727.55,732.57,723.5,728.2,722.76,5.44,0.75,30171.0,2199081.672
600519.SH,2018-03-12,729.55,733.92,722.77,723.95,728.2,-4.25,-0.58,39888.41,2900950.557
600519.SH,2018-03-13,723.0,726.6,710.0,710.35,723.95,-13.6,-1.88,38577.09,2764426.9960000003
600519.SH,2018-03-14,709.67,728.08,707.22,726.88,710.35,16.53,2.33,37355.76,2683830.11
600519.SH,2018-03-15,728.02,747.0,728.02,746.47,726.88,19.59,2.7,56148.79,4161645.76
600519.SH,2018-03-16,747.6,753.98,738.88,739.85,746.47,-6.62,-0.89,35855.52,2676682.524
600519.SH,2018-03-19,743.97,753.99,739.0,753.48,739.85,13.63,1.84,38666.58,2897348.542
600519.SH,2018-03-20,750.0,752.0,740.0,747.73,753.48,-5.75,-0.76,28877.2,2154897.794
600519.SH,2018-03-21,750.11,753.11,740.0,742.0,747.73,-5.73,-0.77,26742.71,1996584.261
600519.SH,2018-03-22,744.0,748.0,724.01,726.08,742.0,-15.92,-2.15,37486.97,2748721.6689999998
600519.SH,2018-03-23,701.0,723.49,700.08,711.06,726.08,-15.02,-2.07,52546.77,3727044.98
600519.SH,2018-03-26,708.0,715.06,701.88,713.49,711.06,2.43,0.34,46256.11,3276880.07
600519.SH,2018-03-27,723.0,725.88,704.0,714.74,713.49,1.25,0.18,47548.44,3399900.2389999996
600519.SH,2018-03-28,699.97,703.0,669.0,682.05,714.74,-32.69,-4.57,113539.72,7786098.262999999
600519.SH,2018-03-29,682.2,697.85,658.41,689.1,682.05,7.05,1.03,79081.96,5362890.034
600519.SH,2018-03-30,686.0,693.5,679.88,683.62,689.1,-5.48,-0.8,36540.28,2502696.336
600519.SH,2018-04-02,680.0,691.0,674.11,680.06,683.62,-3.56,-0.52,32039.08,2185060.765
600519.SH,2018-04-03,678.0,687.0,675.39,677.91,680.06,-2.15,-0.32,40235.58,2737509.485
600519.SH,2018-04-04,682.0,700.43,680.38,694.01,677.91,16.1,2.37,56891.31,3948712.791
600519.SH,2018-04-09,697.1,705.43,690.15,698.3,694.01,4.29,0.62,30833.05,2149178.951
